selection_rank,selection_group,candidate_id,family_id,R,Q,P,balance,checkpoint_path,checkpoint_sha256
1,family_balance,g_a398b1ab6b504799_ema,E11,0.0234375,0.18489583333333334,0.6276041666666666,0.0234375,artifacts/checkpoints/e11_meanflow_sit_b_stage1_200ep/best.pt,a398b1ab6b504799928104c261383cc4f27a0865bc44e8681c7176f824ecd00a
2,family_balance,g_d75236bccc581e59_ema,E12,0.15625,0.328125,0.9114583333333334,0.15625,artifacts/checkpoints/e12_pu_sgd_meanflow_sit_stage2_gpu4_200ep/last.pt,d75236bccc581e591fd86731542bee6e2109b630ea06aa06c93844b1a1e7044f
3,family_balance,g_33a4c9bfb46080e8_ema,E13,0.8854166666666666,0.2760416666666667,0.7864583333333334,0.2760416666666667,artifacts/checkpoints/e13_pu_adamw_meanflow_sit_stage2_e14resume_gpu23_200ep/best.pt,33a4c9bfb46080e8a75c503c269e21e2c6d436913d2a42db7ed0ea74ea31ce9d
4,family_balance,g_1058090b828d8e02_ema,E15,0.7916666666666666,0.23958333333333334,0.796875,0.23958333333333334,artifacts/checkpoints/e15_cold_v8_lpips_gpu0123_ddp_150ep/best_ema_quality.pt,1058090b828d8e0243c3ccc9563526e40407a1554fa128e9169fb1c2b546f6b4
5,family_balance,g_10b333a6c4b88e46_raw,E2,0.7604166666666666,0.109375,0.078125,0.078125,artifacts/checkpoints/e2_pu_adamw_200ep_gpu2_3_v2/best_raw_quality.pt,10b333a6c4b88e464be7c380758ae5a140a10305c6708d9594517f102ceb929a
6,family_balance,g_07acf4a70561a8bb_raw,R1,0.17447916666666666,0.14322916666666666,0.1796875,0.14322916666666666,artifacts/checkpoints/r1_lora_repr_only_lr1.0_gpu0/best.pt,07acf4a70561a8bbba0b24710ec82d9c4b39a16c4e44ed257077832fa2429f2e
7,family_balance,g_7954f6dade2eabdc_raw,R2,0.21614583333333334,0.22135416666666666,0.7473958333333334,0.21614583333333334,artifacts/checkpoints/r2_lora_repr_lr0.25_gpu1/best_raw_utility.pt,7954f6dade2eabdc7e45756656a898f4f421a80c5eee05c2eaac8924e42afbac
8,family_balance,g_2bee11a6d19fd926_raw,R3,0.3723958333333333,0.1640625,0.4557291666666667,0.1640625,artifacts/checkpoints/r3_lora_repr_lr0.25_rank32_gpu1/best_raw_utility.pt,2bee11a6d19fd92684882f0b04ea225365f35077d9b39f558846e91b3d593d69
9,family_balance,g_7dedf30358bf197f_raw,R4,0.0703125,0.0703125,0.3307291666666667,0.0703125,artifacts/checkpoints/r4_rank16_continue3ep_gpu0/best_stage2.pt,7dedf30358bf197fda2cb2279d82ee2c775a8beca3ed4e68102ca2d03349b134
10,family_balance,g_0de4aaf3d8c52e7a_raw,R5,0.8619791666666666,0.6848958333333334,0.8307291666666666,0.6848958333333334,artifacts/checkpoints/r5_full_pu_continue2_l05_gpu1/best_stage2.pt,0de4aaf3d8c52e7a6aad416f809ae9ffad8ef693f8b6a3eac854ad86ac6991eb
11,family_balance,g_40513b501c5dfe51_raw,R6,0.3828125,0.7213541666666666,0.8098958333333334,0.3828125,artifacts/checkpoints/r6_m2m_full_pu_l05_lr5e5_gpu2/last.pt,40513b501c5dfe51dba14abc88caa93528928cb50c4045a608f5fec87743965a
12,family_balance,g_07ca3753b56cfa8c_raw,R7,0.3203125,0.15364583333333334,0.6848958333333334,0.15364583333333334,artifacts/checkpoints/r7_coupled_embedding_cap025_lr1e4_gpu0/best.pt,07ca3753b56cfa8c98c6342e8d4aee289a67cfaaab71d14ef307230235c03416
13,top_R,g_f5313b0f8891c9b7_ema,E15,0.9635416666666666,0.057291666666666664,0.010416666666666666,0.010416666666666666,artifacts/checkpoints/e15_cold_v8_lpips_gpu0123_ddp_150ep/last.pt,f5313b0f8891c9b78708a8b38794886ec5a2e1a6ff4e52b9dc95597116a41ab3
14,top_R,g_3d843659d72b0eed_ema,E13,0.9505208333333334,0.3828125,0.044270833333333336,0.044270833333333336,artifacts/checkpoints/e13_pu_adamw_meanflow_sit_stage2_gpu5_200ep/best.pt,3d843659d72b0eedfa5d0a12310eb32d7cd6e031729a7d29541a7123f97146f6
15,top_R,g_a3c9985ead28003f_ema,E13,0.9505208333333334,0.3828125,0.044270833333333336,0.044270833333333336,artifacts/checkpoints/e13_pu_adamw_meanflow_sit_stage2_gpu5_200ep/best_ema_utility.pt,a3c9985ead28003fa68d5b4d1db1c77fcf5fb2607c87f8f668dfe48fc487b7db
